Term,Status,Section,Location,Lecture Days,Lecture Time,Lecture Location,Seminar Days,Seminar Time,Seminar Location,Lab Days,Lab Time,Lab Location,Distance Education,Electronic,Independent Study,Exam Day,Exam Time,Exam Location,Faculty,Capacity,Credits,Academic Level
Winter 2023,Open,ENVS*2040*01 (2277) Plant Health & the Environment,Guelph,"Tues, Thur",01:00PM - 02:20PM,"LA, Room 204", , , , , , ,FALSE,FALSE,FALSE, , , ,C. Sopher, 140 / 140,0.5,Undergraduate
Winter 2023,Open,ENVS*2080*0101 (2278) Intro. Env. Microbiology,Guelph,"Mon, Wed, Fri",10:30AM - 11:20AM,"MCKN, Room 115", , , ,Tues,02:30PM - 05:20PM,"GRHM, Room 3308",FALSE,FALSE,FALSE, , , ,J. Goordial, 25 / 25,0.5,Undergraduate
Winter 2023,Open,ENVS*2080*0102 (2279) Intro. Env. Microbiology,Guelph,"Mon, Wed, Fri",10:30AM - 11:20AM,"MCKN, Room 115", , , ,Thur,02:30PM - 05:20PM,"GRHM, Room 3308",FALSE,FALSE,FALSE, , , ,J. Goordial, 25 / 25,0.5,Undergraduate
Winter 2023,Open,ENVS*2080*0103 (2280) Intro. Env. Microbiology,Guelph,"Mon, Wed, Fri",10:30AM - 11:20AM,"MCKN, Room 115", , , ,Thur,08:30AM - 11:20AM,"GRHM, Room 3308",FALSE,FALSE,FALSE, , , ,J. Goordial, 25 / 25,0.5,Undergraduate
Winter 2023,Open,ENVS*2080*0104 (2281) Intro. Env. Microbiology,Guelph,"Mon, Wed, Fri",10:30AM - 11:20AM,"MCKN, Room 115", , , ,Fri,02:30PM - 05:20PM,"GRHM, Room 3308",FALSE,FALSE,FALSE, , , ,J. Goordial, 25 / 25,0.5,Undergraduate
Winter 2023,Open,ENVS*2090*0101 (2282) Problem Solving Environ Biol,Guelph,"Tues, Thur",10:30AM - 11:20AM,"ALEX, Room 265 (more)...", , , , , , ,FALSE,FALSE,FALSE, , , ,M. Habash, 20 / 20,0.5,Undergraduate
Winter 2023,Open,ENVS*2130*01 (2283) Eating Sustainably in Ontario,Guelph,"Mon, Wed",08:30AM - 09:50AM,"MCKN, Room 031", , , , , , ,FALSE,FALSE,FALSE, , , ,K. Bolton, 90 / 90,0.5,Undergraduate
Winter 2023,Open,ENVS*2210*DE01 (2284) Apiculture & Honey Bee Biology,Guelph, , , , , , , , , ,TRUE,FALSE,FALSE, , , ,E. Guzman, 300 / 300,0.5,Undergraduate
Winter 2023,Open,ENVS*2230*0101 (2285) Communications in Environ.,Guelph,Wed,12:30PM - 01:20PM,"MCKN, Room 226",Thur,02:30PM - 05:20PM,"MCKN, Room 227", , , ,FALSE,FALSE,FALSE, , , ,S. Haerri, 50 / 50,0.5,Undergraduate
Winter 2023,Open,ENVS*2250*DE01 (2286) Geology of Natural Disasters,Guelph, , , , , , , , , ,TRUE,FALSE,FALSE, , , ,A. Brown, 75 / 75,0.5,Undergraduate
Winter 2023,Open,ENVS*2270*01 (2287) Impacts of Climate Change,Guelph,"Mon, Wed",02:30PM - 03:50PM,"MCKN, Room 120", , , , , , ,FALSE,FALSE,FALSE, , , ,K. Bolton, 110 / 110,0.5,Undergraduate
Winter 2023,Open,ENVS*2310*0101 (2288) Intro to Biogeochemistry,Guelph,"Mon, Wed",11:30AM - 12:20PM,"MCKN, Room 225",Fri,11:30AM - 01:20PM,"MCKN, Room 226", , , ,FALSE,FALSE,FALSE, , , ,S. Glasauer, 50 / 50,0.5,Undergraduate
Winter 2023,Open,ENVS*3000*DE01 (2289) Nature Interpretation,Guelph, , , , , , , , , ,TRUE,FALSE,FALSE, , , ,TBA, 75 / 75,0.5,Undergraduate
Winter 2023,Open,ENVS*3020*01 (2290) Pesticides and the Environment,Guelph,"Mon, Wed, Fri",01:30PM - 02:20PM,"ANNU, Room 156", , , , , , ,FALSE,FALSE,FALSE, , , ,R. Prosser, 80 / 80,0.5,Undergraduate
Winter 2023,Open,ENVS*3060*01 (2291) Groundwater,Guelph,"Mon, Wed, Fri",11:30AM - 12:20PM,"THRN, Room 1307", , , , , , ,FALSE,FALSE,FALSE, , , ,A. Biswas, 100 / 100,0.5,Undergraduate
Winter 2023,Open,ENVS*3090*0101 (2292) Insect Diversity & Biology,Guelph,"Tues, Thur",01:00PM - 02:20PM,"GFTC, Room 241", , , ,Tues,02:30PM - 05:20PM,"GRHM, Room 3309",FALSE,FALSE,FALSE, , , ,A. Young, 30 / 30,0.5,Undergraduate
Winter 2023,Open,ENVS*3090*0102 (2293) Insect Diversity & Biology,Guelph,"Tues, Thur",01:00PM - 02:20PM,"GFTC, Room 241", , , ,Tues,07:00PM - 09:50PM,"GRHM, Room 3309",FALSE,FALSE,FALSE, , , ,A. Young, 30 / 30,0.5,Undergraduate
Winter 2023,Open,ENVS*3150*0101 (2294) Aquatic Systems,Guelph,"Tues, Thur",01:00PM - 02:20PM,"ROZH, Room 106", , , ,Wed,02:30PM - 04:20PM,"GRHM, Room 3309",FALSE,FALSE,FALSE, , , ,"P. Sibley, N. Rooney", 20 / 20,0.5,Undergraduate
Winter 2023,Open,ENVS*3150*0102 (2295) Aquatic Systems,Guelph,"Tues, Thur",01:00PM - 02:20PM,"ROZH, Room 106", , , ,Fri,12:30PM - 02:20PM,"GRHM, Room 3309",FALSE,FALSE,FALSE, , , ,"P. Sibley, N. Rooney", 20 / 20,0.5,Undergraduate
Winter 2023,Open,ENVS*3240*01 (2296) Creative Writing Enviro Scienc,Guelph,Mon,02:30PM - 05:20PM,"MCKN, Room 034A", , , , , , ,FALSE,FALSE,FALSE, , , ,M. Anand, 10 / 10,0.5,Undergraduate
Winter 2023,Open,ENVS*3270*0101 (2297) Forest Biodiversity,Guelph,"Mon, Wed, Fri",01:30PM - 02:20PM,"JTP, Room 2266",Tues,02:30PM - 05:20PM,"ANNU, Room 204", , , ,FALSE,FALSE,FALSE, , , ,C. Dieleman, 30 / 30,0.5,Undergraduate
Winter 2023,Open,ENVS*3270*0102 (2298) Forest Biodiversity,Guelph,"Mon, Wed, Fri",01:30PM - 02:20PM,"JTP, Room 2266",Thur,02:30PM - 05:20PM,"ANNU, Room 204", , , ,FALSE,FALSE,FALSE, , , ,C. Dieleman, 30 / 30,0.5,Undergraduate
Winter 2023,Open,ENVS*3270*0103 (2299) Forest Biodiversity,Guelph,"Mon, Wed, Fri",01:30PM - 02:20PM,"JTP, Room 2266",Fri,02:30PM - 05:20PM,"ALEX, Room 028", , , ,FALSE,FALSE,FALSE, , , ,C. Dieleman, 30 / 30,0.5,Undergraduate
